2024-06-01 21:32:36,500.hm_producer.INFO ==================================================
2024-06-01 21:32:36,500.hm_producer.INFO Today is 2024-06-01 at 09:32 PM
2024-06-01 21:32:36,501.hm_producer.INFO Running on: nt Windows 10
2024-06-01 21:32:36,502.hm_producer.INFO Python version:  3.10.9
2024-06-01 21:32:36,502.hm_producer.INFO Python path: C:\Users\Hayley\anaconda3
2024-06-01 21:32:36,503.hm_producer.INFO Working dir: C:\Users\Hayley\Documents\streaming-05-smart-smoker
2024-06-01 21:32:36,503.hm_producer.INFO ==================================================
2024-06-01 21:32:46,687.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:50:10', 242.4)
2024-06-01 21:32:46,730.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:50:15', 242.4)
2024-06-01 21:32:46,785.hm_producer.INFO Sent message to 02-food-A: ('05/22/21 13:50:35', 37.2)
2024-06-01 21:32:46,809.hm_producer.INFO Sent message to 02-food-A: ('05/22/21 13:50:40', 37.2)
2024-06-01 21:32:46,832.hm_producer.INFO Sent message to 03-food-B: ('05/22/21 13:50:40', 35.2)
2024-06-01 21:32:46,855.hm_producer.INFO Sent message to 03-food-B: ('05/22/21 13:50:45', 35.2)
2024-06-01 21:32:46,879.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:51:10', 243.1)
2024-06-01 21:32:46,912.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:51:15', 243.1)
2024-06-01 21:32:46,946.hm_producer.INFO Sent message to 02-food-A: ('05/22/21 13:51:35', 37.5)
2024-06-01 21:32:46,978.hm_producer.INFO Sent message to 02-food-A: ('05/22/21 13:51:40', 37.5)
2024-06-01 21:32:47,013.hm_producer.INFO Sent message to 03-food-B: ('05/22/21 13:51:40', 35.2)
2024-06-01 21:32:47,045.hm_producer.INFO Sent message to 03-food-B: ('05/22/21 13:51:45', 35.2)
2024-06-01 21:32:47,078.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:52:10', 242.6)
2024-06-01 21:32:47,113.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:52:15', 242.6)
2024-06-01 21:32:47,149.hm_producer.INFO Sent message to 02-food-A: ('05/22/21 13:52:35', 37.9)
2024-06-01 21:32:47,184.hm_producer.INFO Sent message to 02-food-A: ('05/22/21 13:52:40', 37.9)
2024-06-01 21:32:47,230.hm_producer.INFO Sent message to 03-food-B: ('05/22/21 13:52:40', 35.6)
2024-06-01 21:32:47,267.hm_producer.INFO Sent message to 03-food-B: ('05/22/21 13:52:45', 35.6)
2024-06-01 21:32:47,291.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:53:10', 241.7)
2024-06-01 21:32:47,318.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:53:15', 241.7)
2024-06-01 21:32:47,342.hm_producer.INFO Sent message to 02-food-A: ('05/22/21 13:53:35', 38.4)
2024-06-01 21:32:47,369.hm_producer.INFO Sent message to 02-food-A: ('05/22/21 13:53:40', 38.4)
